Z, Bz
437,1.519696
438,1.506642
439,1.493740
440,1.480985
441,1.468377
442,1.455913
443,1.443592
444,1.431410
445,1.419366
446,1.407459
447,1.395685
448,1.384044
449,1.372534
450,0.000000
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,0.000000
456,0.000000
457,0.000000
458,0.000000
459,0.000000
460,0.000000
461,0.000000
462,0.000000
463,0.000000
464,0.000000
465,0.000000
466,0.000000
467,0.000000
468,0.000000
469,0.000000
470,0.000000
471,0.000000
472,0.000000
473,0.000000
474,0.000000
475,0.000000
476,0.000000
477,0.000000
478,0.000000
479,0.000000
480,0.000000
481,0.000000
482,0.000000
483,0.000000
484,0.000000
485,0.000000
486,0.000000
487,0.000000
488,0.000000
489,0.000000
490,0.000000
491,0.000000
492,0.000000
493,0.000000
494,0.000000
495,0.000000
496,0.000000
497,0.000000
498,0.000000
499,0.000000
500,0.000000
501,0.000000
502,0.000000
503,0.000000
504,0.000000
505,0.000000
506,0.000000
507,0.000000
508,0.000000
509,0.000000
510,0.000000
511,0.000000
512,0.000000
513,0.000000
514,0.000000
515,0.000000
516,0.000000
517,0.000000
518,0.000000
519,0.000000
520,0.000000
521,0.000000
522,0.000000
523,0.000000
524,0.000000
525,0.000000
526,0.000000
527,0.000000
528,0.000000
529,0.000000
530,0.000000
531,0.000000
532,0.000000
533,0.000000
534,0.000000
535,0.000000
536,0.000000
537,0.000000
538,0.000000
539,0.000000
540,0.000000
541,0.000000
542,0.000000
543,0.000000
544,0.000000
545,0.000000
546,0.000000
547,0.000000
548,0.000000
549,0.000000
550,0.000000
551,0.000000
552,0.000000
553,0.000000
554,0.000000
555,0.000000
556,0.000000
557,0.000000
558,0.000000
559,0.000000
560,0.000000
561,0.000000
562,0.000000
563,0.000000
564,0.000000
565,0.000000
566,0.000000
567,0.000000
568,0.000000
569,0.000000
570,0.000000
571,0.000000
572,0.000000
573,0.000000
574,0.000000
575,0.000000
576,0.000000
577,0.000000
578,0.000000
579,0.000000
580,0.000000
581,0.000000
582,0.000000
583,0.000000
584,0.000000
585,0.000000
586,0.000000
587,0.000000
588,0.000000
589,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.000000
594,0.000000
595,0.000000
596,0.000000
597,0.000000
598,0.000000
599,0.000000
